"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.425222000E0,1.105301514E0,-2.370320892E0,-3.807482300E0,4.619202749E0
2.435195000E0,6.303392029E-1,-2.693349152E0,-5.173092499E0,5.866203471E0
2.445168000E0,7.523355103E-1,-3.072211304E0,-6.960375824E0,7.645346469E0
2.455141000E0,7.155120850E-2,-4.375700684E0,-9.053173828E0,1.005543795E1
2.465114000E0,1.166075134E-1,-7.238048401E0,-1.101035385E1,1.317690532E1
2.475087000E0,7.390132141E-1,-1.096350128E1,-1.067774551E1,1.532183899E1
2.485059000E0,1.575473785E0,-1.517155060E1,-1.098834961E1,1.879898647E1
2.495032000E0,2.511926422E0,-1.956057358E1,-1.179532150E1,2.297945653E1
2.505005000E0,2.778372345E0,-2.061722626E1,-1.137065460E1,2.370825083E1
2.514978000E0,2.310295715E0,-1.644360535E1,-1.036744080E1,1.957583847E1
2.524951000E0,2.632575531E0,-1.091754684E1,-8.664432220E0,1.418434590E1
2.534924000E0,2.941832428E0,-6.162085876E0,-7.552843781E0,1.018190206E1
2.544897000E0,2.783012695E0,-2.015408936E0,-6.818321228E0,7.635216906E0
2.554869000E0,1.229992218E0,1.118174744E0,-4.696034546E0,4.981559602E0
2.564842000E0,-1.406924286E0,1.448687439E0,2.319576416E0,3.075478173E0
2.574815000E0,1.673070831E0,-1.197210388E0,7.956105194E0,8.217790979E0
2.584788000E0,6.045029297E0,-5.282215576E0,7.679181061E0,1.110918549E1
2.594761000E0,7.570656738E0,-9.251361694E0,5.687422943E0,1.323817647E1
2.604734000E0,7.814948730E0,-1.311497726E1,3.614982605E-1,1.527110780E1
2.614706000E0,6.608158264E0,-2.756218414E1,-2.908212341E1,4.060925575E1
2.624679000E0,3.012934570E0,-3.703852798E1,-1.294642776E1,3.935149707E1
2.634652000E0,5.669609985E0,-2.769929901E1,1.408645706E1,3.158835095E1
