"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.683310500E0,-1.905687103E0,-1.501377869E0,-5.471122742E-1,2.486988275E0
1.693284500E0,-2.323019257E0,-1.848655701E0,-9.035211182E-1,3.103271947E0
1.703258500E0,-2.549647980E0,-2.178120575E0,-1.268462219E0,3.585235064E0
1.713231500E0,-2.216740265E0,-2.612517242E0,-7.861651611E-1,3.515286532E0
1.723205500E0,-1.369202728E0,-3.552412720E0,2.682421875E-1,3.816583042E0
1.733179500E0,6.691085815E-1,-6.537056122E0,-5.959107971E-1,6.598175408E0
1.743153500E0,3.112627258E0,-8.799900513E0,1.958377533E0,9.537396922E0
1.753126500E0,5.036726074E0,-9.829908600E0,4.977599030E0,1.211495789E1
1.763100500E0,7.464527435E0,-1.241114090E1,1.768572235E0,1.459052556E1
1.773074500E0,1.286933807E1,-1.634076920E1,-7.432494049E0,2.208806393E1
1.783047500E0,1.334055817E1,-2.012998947E1,-7.503446503E0,2.528811337E1
1.793021500E0,8.981323242E0,-2.477228577E1,-8.726852417E-2,2.635029269E1
1.802995500E0,7.396568756E0,-2.966411316E1,-5.150190125E0,3.100311754E1
1.812969500E0,4.528981934E0,-2.744842072E1,-1.223914856E1,3.039283196E1
1.822942500E0,3.480562134E0,-2.563539093E1,-1.433164719E1,2.957505185E1
1.832916500E0,1.732197876E0,-2.763193909E1,-1.286125488E1,3.052763411E1
1.842890500E0,6.252497864E-1,-2.905637695E1,-1.105226669E1,3.109367424E1
1.852863500E0,9.710307312E-1,-3.009386948E1,-6.823859711E0,3.087311034E1
1.862837500E0,1.610950012E0,-3.031645660E1,-4.754113770E0,3.072920921E1
1.872811500E0,2.211052094E0,-2.802008194E1,-4.773872681E0,2.850971069E1
1.882785500E0,3.046614532E0,-2.482752090E1,-4.544848938E0,2.542328276E1
1.892758500E0,3.780089264E0,-2.165786224E1,-4.553680573E0,2.245190590E1
1.902732500E0,4.587510223E0,-1.838012833E1,-4.036056976E0,1.936915391E1
1.912706500E0,5.636678467E0,-1.526420792E1,-3.480711823E0,1.663981797E1
1.922679500E0,5.987249451E0,-1.263956589E1,-3.412004700E0,1.439609523E1
1.932653500E0,5.794450378E0,-1.073777069E1,-4.153862000E0,1.288914055E1
1.942627500E0,5.470074921E0,-8.825646973E0,-5.059329071E0,1.155034955E1
1.952600500E0,4.085304565E0,-7.249574432E0,-4.505031738E0,9.462629328E0
1.962574500E0,2.907104645E0,-5.891298981E0,-3.408861237E0,7.401283404E0
1.972548500E0,2.140399017E0,-4.668491821E0,-2.231559448E0,5.599641186E0
1.982522500E0,1.710193634E0,-3.520828400E0,-1.312171326E0,4.128291229E0
1.992495500E0,7.958949280E-1,-2.201172638E0,-8.497828674E-1,2.490128639E0
2.002469500E0,5.014572144E-2,-9.196875000E-1,-7.598199463E-1,1.194012580E0
2.012443500E0,-4.625381470E-1,-8.876541138E-2,-9.466314697E-1,1.057323023E0
2.022416500E0,-9.855505371E-1,3.516188049E-1,-8.270301819E-1,1.333763310E0
2.032390500E0,-1.118324432E0,5.510041809E-1,-6.033952332E-1,1.385041859E0
2.042364500E0,-1.380728760E0,5.206173706E-1,-4.016148376E-1,1.529296842E0
2.052338500E0,-1.458716583E0,6.656657410E-1,-8.768765259E-1,1.827533143E0
2.062311500E0,-1.314865723E0,1.154848480E0,-3.976630554E0,4.344667703E0
2.072285500E0,-5.504054260E-1,1.757046204E0,-6.678661652E0,6.927819206E0
2.082259500E0,2.496807861E-1,1.751807098E0,7.110214233E-1,1.907018634E0
2.092232500E0,-3.269201660E-1,9.740245056E-1,5.638474731E0,5.731317286E0
2.102206500E0,-1.165326691E0,-3.385958862E-1,3.254831543E0,3.473695704E0
2.112180500E0,-1.383123779E0,-7.294331360E-1,1.306034088E0,2.037358370E0
2.122153500E0,-1.334774323E0,-7.357200623E-1,6.210585022E-1,1.645788615E0
2.132127500E0,-1.297352142E0,-7.198530579E-1,3.186872864E-1,1.517521859E0
2.142101500E0,-1.137035522E0,-7.267387390E-1,-1.272354126E-1,1.355429019E0
2.152074500E0,-8.089178467E-1,-7.744894409E-1,-8.337661743E-1,1.396190535E0
2.162048500E0,-2.398013306E-1,-7.954458618E-1,-1.334774323E0,1.572215408E0
2.172022500E0,1.169967041E0,-9.728269958E-1,-1.841620331E0,2.388886913E0
2.181996500E0,3.094065857E0,-1.558259583E0,-3.202440491E0,4.717736910E0
2.191969500E0,4.381987610E0,-3.178490295E0,-5.562283173E0,7.761675725E0
2.201943500E0,3.783681793E0,-5.299130402E0,-7.618407440E0,1.002183431E1
2.211917500E0,2.479144592E0,-6.131549377E0,-3.348536682E0,7.413147347E0
2.221890500E0,4.360432434E-1,-4.968917084E0,7.552843781E0,9.051282775E0
2.231864500E0,1.978884888E-1,-5.003495178E0,8.253386993E0,9.653627335E0
2.241838500E0,3.338058472E-1,-5.983207855E0,2.926115112E0,6.668759422E0
2.251812500E0,2.426454163E-1,-7.977510681E0,2.505789185E-1,7.985132639E0
2.261785500E0,1.678309937E0,-1.250334915E1,-4.974904633E0,1.356097859E1
2.271759500E0,3.445834351E0,-1.466201019E1,7.090155945E0,1.664688045E1
2.281733500E0,2.278412018E0,-1.637160507E1,7.985743561E0,1.835736131E1
2.291706500E0,6.866670685E0,-1.843970444E1,2.168989563E-1,1.967792955E1
2.301680500E0,1.405232803E1,-1.807311676E1,-8.439899139E0,2.439953627E1
2.311654500E0,1.149579437E1,-1.866378845E1,-6.568341064E-1,2.192992747E1
2.321627500E0,8.433761902E0,-2.354169479E1,-4.033811646E0,2.533004876E1
2.331601500E0,7.750133514E0,-3.036735077E1,-1.357407257E1,3.415400428E1
2.341575500E0,3.333268433E0,-3.509751434E1,-1.290331741E1,3.754253310E1
2.351549500E0,-2.191442871E0,-3.604115204E1,-7.968978424E0,3.697663694E1
2.361522500E0,-3.950584717E0,-3.279949310E1,-1.952240295E0,3.309418543E1
2.371496500E0,-4.518054657E0,-2.919334213E1,2.284399567E0,2.962908240E1
2.381470500E0,-3.670517120E0,-2.699441483E1,1.898502045E0,2.730888935E1
2.391443500E0,-4.785548401E-1,-2.344394806E1,1.972298584E0,2.353163141E1
2.401417500E0,2.580184479E0,-2.152104675E1,1.470242615E0,2.172497224E1
2.411391500E0,6.325695648E0,-2.023866348E1,-5.313949585E-1,2.121085349E1
2.421364500E0,9.476792908E0,-1.727692245E1,-2.617307281E0,1.987842928E1
2.431338500E0,1.010189301E1,-1.406325531E1,-4.380341034E0,1.786087287E1
2.441312500E0,8.146060181E0,-1.188708069E1,-5.288053436E0,1.535006492E1
2.451286500E0,5.672603760E0,-1.012060410E1,-5.926326141E0,1.302790859E1
2.461259500E0,3.348985748E0,-7.873177643E0,-5.918542328E0,1.040345015E1
2.471233500E0,1.265618134E0,-5.419480133E0,-4.128115540E0,6.929205732E0
2.481207500E0,-3.793112183E-1,-3.535797272E0,-2.169438629E0,4.165597594E0
2.491180500E0,-2.182162170E0,-2.365530853E0,-1.191222839E0,3.431702174E0
2.501154500E0,-3.943249969E0,-1.445543976E0,-8.422984314E-1,4.283489740E0
2.511128500E0,-4.581223297E0,-6.592291260E-1,-1.995350647E-1,4.632710241E0
2.521101500E0,-3.705693970E0,-3.727249146E-2,3.725752258E-1,3.724562972E0
2.531075500E0,-2.638413391E0,3.281176758E-1,2.749781799E-1,2.672919645E0
2.541049500E0,-2.079775085E0,4.061054993E-1,-5.427713013E-1,2.187461261E0
2.551022625E0,-2.172582092E0,5.739065552E-1,-2.993774414E0,3.743282907E0
2.560995625E0,-2.561323700E0,8.397537231E-1,-5.593717804E0,6.209286938E0
2.570969625E0,-1.856439514E0,8.262817383E-1,-4.178560638E0,4.646447911E0
2.580943625E0,-2.983296204E-1,7.888595581E-1,2.490820312E-1,8.793985576E-1
2.590916625E0,8.170010376E-1,1.010249176E0,3.178190918E0,3.433510100E0
2.600890625E0,1.164278870E0,7.943980408E-1,1.756447449E0,2.252048217E0
2.610864625E0,3.622467041E-1,2.839595032E-1,-6.890171814E-1,8.286135108E-1
2.620837625E0,-1.901046753E-1,-6.361770630E-2,-1.416504364E0,1.430619311E0
2.630811625E0,-3.933819580E-1,-4.158352661E-1,-1.249751129E0,1.374607660E0
2.640785625E0,-6.373745728E-1,-6.782395935E-1,-9.924362183E-1,1.360582574E0
2.650759625E0,-4.989125061E-1,-6.506968689E-1,-5.818400574E-1,1.005414321E0
2.660732625E0,1.212478638E-2,-4.276606750E-1,-1.282832336E-1,4.466511519E-1
2.670706625E0,3.890409851E-1,-1.895059204E-1,1.038839722E-1,4.450362476E-1
2.680680625E0,6.744973755E-1,4.340972900E-3,6.406677246E-2,6.775471238E-1
2.690653625E0,8.848100281E-1,-5.837860107E-3,-7.214996338E-2,8.877660072E-1
2.700627625E0,8.957373047E-1,-1.959425354E-1,-4.131408691E-2,9.178483807E-1
2.710601625E0,7.934999084E-1,-5.659730530E-1,4.165837097E-1,1.059957352E0
2.720574625E0,9.547146606E-1,-1.141825562E0,1.163680115E0,1.889284813E0
2.730548625E0,1.467248840E0,-2.151625671E0,1.060394897E0,2.811894295E0
2.740522625E0,2.268382874E0,-3.725303192E0,-1.113983459E0,4.501600147E0
2.750495625E0,3.799698486E0,-4.853656769E0,-2.481539612E0,6.644827421E0
2.760469625E0,5.254373474E0,-5.592220917E0,7.668553162E-1,7.711643305E0
2.770443625E0,5.526507568E0,-7.089557190E0,2.299518127E0,9.278571586E0
2.780417625E0,5.638175354E0,-1.094898148E1,-3.941304016E-1,1.232171074E1
2.790390625E0,4.452940063E0,-1.673460022E1,3.382965088E-2,1.731694731E1
2.800364625E0,3.376977539E0,-2.478755402E1,4.408931580E0,2.540207647E1
2.810338625E0,7.636819153E0,-3.710543884E1,-3.743864594E0,3.806771756E1
2.820311625E0,9.630672913E0,-4.460199966E1,-1.875689484E1,4.933466670E1
2.830285625E0,2.738854523E0,-4.047418350E1,-1.828342941E1,4.449656892E1
2.840259625E0,2.498005371E0,-3.690365845E1,-1.388512573E1,3.950843903E1
2.850233625E0,7.188501434E0,-3.392230820E1,-1.143097916E1,3.651116036E1
2.860206625E0,8.723259888E0,-3.087689117E1,-7.611671448E0,3.297597935E1
2.870180625E0,8.982670441E0,-2.839939316E1,-4.279151459E0,3.009194306E1
2.880154625E0,8.447832642E0,-2.600287674E1,-2.963537292E0,2.750087323E1
2.890127625E0,7.385641479E0,-2.289623703E1,-2.835553436E0,2.422448624E1
2.900101625E0,6.760242004E0,-1.908216843E1,-2.686613159E0,2.042175100E1
2.910075625E0,6.087840271E0,-1.579709976E1,-1.996847534E0,1.704692231E1
2.920048625E0,4.715045013E0,-1.297711395E1,-2.114502869E0,1.396811578E1
2.930022625E0,3.018772430E0,-1.024619293E1,-1.669777679E0,1.081136504E1
2.939996625E0,1.430275726E0,-8.078700256E0,-8.863069153E-1,8.252068009E0
2.949969625E0,2.192939758E-1,-6.601272583E0,-4.659809875E-1,6.621331274E0
2.959943625E0,-7.815248108E-1,-5.633984070E0,7.138655090E-1,5.732552790E0
2.969917625E0,-1.356628876E0,-4.758903809E0,1.501377869E0,5.171241908E0
2.979891625E0,-1.597178650E0,-3.535198517E0,1.547931061E0,4.176685140E0
2.989864625E0,-1.352437592E0,-2.320474548E0,8.214916992E-1,2.808654158E0
2.999838625E0,-7.881111145E-1,-1.275647278E0,-2.314187622E-1,1.517217766E0
3.009812625E0,3.736230469E-1,-1.868115234E-1,-2.165696411E0,2.205614126E0
3.019785625E0,3.275787964E0,9.271719360E-1,-8.153843994E0,8.836040203E0
3.029759625E0,6.533463593E0,1.661544800E0,-1.242251724E1,1.413385341E1
3.039733625E0,4.027524719E0,1.574875031E0,-2.719694366E0,5.108612744E0
3.049706625E0,-7.508386230E-1,1.273701324E0,4.470453644E0,4.708612267E0
3.059680625E0,-2.500250702E0,1.686991882E-1,4.586163025E0,5.226146217E0
3.069654625E0,-2.623294830E0,-8.855584717E-1,2.730172577E0,3.888409942E0
3.079627625E0,-3.104095001E0,-9.069639587E-1,1.117126923E0,3.421397662E0
3.089601625E0,-2.801125031E0,-7.161108398E-1,7.993377686E-2,2.892318375E0
3.099575625E0,-2.345622253E0,-6.899153137E-1,-5.495072937E-1,2.505969904E0
3.109549625E0,-1.880240021E0,-7.132667542E-1,-6.527925110E-1,2.114282399E0
3.119522625E0,-1.391656036E0,-7.128176880E-1,-7.554789734E-1,1.736537952E0
3.129496625E0,-9.629475403E-1,-6.483018494E-1,-9.074130249E-1,1.473418356E0
3.139470625E0,-1.577719116E-1,-4.800517273E-1,-1.292861481E0,1.388103903E0
3.149443625E0,6.973997498E-1,-3.273692322E-1,-2.336191864E0,2.459945010E0
3.159417625E0,1.122964783E0,-8.517288208E-2,-3.803590393E0,3.966812852E0
3.169391625E0,1.034648438E0,9.595046997E-2,-3.885919189E0,4.022446001E0
3.179364625E0,4.760101318E-2,1.990859985E-1,-2.265538788E0,2.274767481E0
