"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.703827917E0,2.273771667E0,-6.023474121E-1,1.170116730E0,2.627172085E0
1.713800917E0,9.331594849E-1,-3.726351013E0,2.454745331E0,4.558755657E0
1.723772917E0,-7.903564453E-1,-1.056443115E1,5.102289734E0,1.175862362E1
1.733745917E0,-3.322939911E0,-1.547736465E1,6.035000153E0,1.694142772E1
1.743717917E0,-4.364324341E0,-1.733679794E1,4.537963257E0,1.844464693E1
1.753690917E0,-3.518283691E0,-1.559606781E1,2.969075775E0,1.626133642E1
1.763662917E0,-3.075205078E0,-1.244212646E1,2.365530853E0,1.303300171E1
1.773635917E0,-2.612367554E0,-9.334888000E0,2.237247620E0,9.948360424E0
1.783608917E0,-1.761686554E0,-7.344477081E0,2.421364746E0,7.931449448E0
1.793580917E0,-4.587959290E-1,-6.326294403E0,2.675386505E0,6.884053132E0
1.803553917E0,1.622925110E0,-6.071823578E0,1.713636475E0,6.514405379E0
1.813525917E0,4.713248749E0,-6.253246307E0,-2.678230591E0,8.275912170E0
1.823498917E0,6.637946320E0,-6.905889130E0,-4.381089478E0,1.053316576E1
1.833470917E0,5.781277771E0,-8.365803223E0,-1.431323547E0,1.026930004E1
1.843443917E0,4.779860229E0,-9.711953888E0,6.391708374E-2,1.082465692E1
1.853416917E0,4.137246552E0,-9.866133270E0,2.615061951E-1,1.070167184E1
1.863388917E0,4.042044525E0,-9.104367371E0,-2.784808960E0,1.034324853E1
1.873361917E0,3.200494537E0,-8.676257629E0,-5.047054596E0,1.053533919E1
1.883333917E0,1.999691620E0,-8.132438507E0,-4.597988434E0,9.553890322E0
1.893306917E0,7.514373779E-1,-7.508236542E0,-3.381767578E0,8.268895093E0
1.903278917E0,7.484436035E-3,-7.009324036E0,-2.077679443E0,7.310775015E0
1.913251917E0,1.956431580E-1,-6.473288727E0,-7.271878052E-1,6.516942941E0
1.923223917E0,5.721102905E-1,-6.309229889E0,5.155279541E-1,6.356057036E0
1.933196917E0,7.382647705E-1,-6.917265472E0,9.523196411E-1,7.021432132E0
1.943169917E0,8.619076538E-1,-7.991880798E0,1.233285370E0,8.132283585E0
1.953141917E0,7.081773376E-1,-8.916058960E0,9.265731812E-1,8.992005359E0
1.963114917E0,2.856060791E-1,-9.866432648E0,-7.414082336E-1,9.898371088E0
1.973086917E0,-2.068698120E-1,-1.033061737E1,-3.251837769E0,1.083230812E1
1.983059917E0,-5.348377991E-1,-1.001402573E1,-5.423222351E0,1.140079398E1
1.993031917E0,-5.081932068E-1,-9.434431000E0,-5.964945831E0,1.117351007E1
2.003004917E0,1.779798889E-1,-9.172625427E0,-5.094356232E0,1.049386485E1
2.012976917E0,5.405259705E-1,-9.276210022E0,-3.860472107E0,1.006198219E1
2.022949917E0,5.149291992E-2,-9.465865631E0,-2.161205750E0,9.709586704E0
2.032921917E0,-1.107546844E0,-9.688153381E0,-1.057101746E0,9.808386210E0
2.042894917E0,-2.509980469E0,-1.012778915E1,-1.232087860E0,1.050667196E1
2.052867917E0,-3.924089813E0,-1.110869934E1,-1.973196716E0,1.194550908E1
2.062839917E0,-4.969964905E0,-1.241967316E1,-2.352208557E0,1.358240471E1
2.072812917E0,-5.516029358E0,-1.379052246E1,-2.194586334E0,1.501403673E1
2.082784917E0,-5.700445862E0,-1.522109756E1,-8.000862122E-1,1.627319981E1
2.092757917E0,-5.406307526E0,-1.620874374E1,7.051835632E-1,1.710113501E1
2.102729917E0,-4.725672913E0,-1.608210709E1,1.604064331E0,1.683862153E1
2.112702917E0,-4.182602234E0,-1.522094788E1,1.833836517E0,1.589133009E1
2.122675917E0,-2.286495209E0,-1.389635239E1,7.228468323E-1,1.410174378E1
2.132647917E0,1.533710632E0,-1.308908112E1,-1.022523651E0,1.321823995E1
2.142620917E0,5.102439423E0,-1.355281677E1,-2.154170380E0,1.464083948E1
2.152592917E0,7.430398407E0,-1.345237564E1,-1.345252533E0,1.542682518E1
